Tag,Pattern,Response
depressive,"I have been feeling more and more down for over a month. I have started having trouble sleeping due to panic attacks, but they are almost never triggered by something that I know of.","Your question is a fascinating one!As humans we have the ability to reflect on situations in our lives.Even if nothing currently goes on in a particular moment, its possible youre reflecting on a serious or upsetting matter.And, our emotions linger within us. Just because a particular moment feels calm, inside your feelings may be the sense of a strong unsettled emotion from the recent past.Good for you to be aware of your own sensitivity to living with awareness of your moods and thoughts."
depression,Im facing severe depression and anxiety and I just feel like Im going through a lot. This really distracts me and I cant get my mind off the things that are bothering me.    How do I overcome this anxierty and depression?,"""Working with a great therapist who can help you learn ways to cope might be beneficial to you. Sometimes just the act of being able to talk about things with a nonjudgmental person helps take some of the burden off of you. A therapist can help you change your thought patterns and teach you coping skills to reduce your symptoms."", ""Anxiety and depression are often linked. I don't consider them as diseases. Depression is a symptom of deep hurts to the sense of self that leaves a person feeling shamed. Anxiety is a symptom of not being given the proper emotional resources to handle the problems of life. It is also the result of being taught that life is a dangerous place that can't be managed."""
worry,How can I get to a place where I can be content from day to day?,"""One thing that comes to mind is making a list of some things that happen each day. It could be that there are things that are affecting how upset you are, but because so many other things are going on, you may not notice.Another idea to try is to keep a list for a month of one good thing that happened each day. This way, when you're having a rough day, you have a list to think of and take a look at"", ""Look up online what the local hospital offers to people.  google some of the key words you just wrote here, like depression and counseling, low-cost counseling.Did your primary physician tell you their reason to not help you? If not, then ask the person to tell you their reasoning. "", """
diagnosis,"I suffer from adult ADHD, anxiety disorder, and depression. It has been difficult to find a doctor in my area and my primary physician won't help. What would you suggest I do?","Look up online what the local hospital offers to people.  google some of the key words you just wrote here, like depression and counseling, low-cost counseling.Did your primary physician tell you their reason to not help you? If not, then ask the person to tell you their reasoning. ""I would check out agencies that offer affordable counseling based on your income or very low cost counseling sessions, i.e., Pacific Clinics, Hathaway Sycamore, Pasadena Mental Health Center, Burbank Family Center. If you google affordable or low cost therapy in your particular area you will find resources to help you."""
Social anxiety,When I'm in large crowds I get angry and I just can't deal with people. I don't really like other people (I prefer animals) they make me nervous and scared.,"""Being tired can really affect almost everyone's ability to work through things that make them sad, confused, or angry, among other emotions. If you're having difficulty sleeping, try to get into a habit of going to bed and waking up close to the same time every day."" Also consider only using the bed for sleeping so your brain knows that it's time to sleep when you are in bed. If you are not sleeping while you are in bed, consider getting up and reading a book or doing something to make you tired before going back to bed. Hopefully you'll be able to establish a pattern."""
Fears,I know this fear doesn't make sense. How can I overcome it?,"I am so sorry you are struggling!  I do think it's a good idea to share your feelings with your parents and perhaps get some help connecting with a counselor or therapist if you feel that might help. There are lots of ways to tell them, depending on your relationship. Or, some folks will write a letter, or even send a text.  The most important thing is that you tell someone you trust so you don't feel so miserable. I hope this helps. Best of luck."
anxiety,"I have anxieties about everyday stressors, i.e. interacting with others","It is challenging to maintain motivation at all times, anxiety and depression can set in which can make interacting with others a  struggle, it can lead us to do things that make us not feel good and we become isolated.  This ends up feeding into a cycle that maintains the anxiety/depression loop  and can be really challenging to step out of it.""One of the first steps is to manage anxiety and depression symptoms are to establish a good self-care routine.Start with the most basic things: Eating balanced meals, sleeping at from 6-8 hours and exercise at least 30 minutes a day. These will help you to regulate the chemical imbalance that affects your mood, plus exercising gives you time to vent and be distracted from your thoughts."""
nervous,"When I'm around people, I sometimes think someone has made a comment to me or asked me to do something. I will be focusing on something else and then randomly think I hear something about me. I never know if it was actually said.","It sounds like you are feeling like things are hopeless and out of control and you're not sure what to do about it. If you can find a competent therapist to work with, together you may be able to come up with some strategies for alleviating the overwhelming distress that you are experiencing and gain some insight into what may be contributing to these challenges. Additionally, a therapist may be able to support you in getting back on your feet in regards to work, a place to live, and showing up with your partner in a way that will be more satisfying to you."
shyness,I am a really shy person. How can I get more confident?,Thanks for sharing your concern! I think you'd be surprised if you knew how many people feel the same way.  Being in crowds can provoke anxiety. I'd recommend starting by writing down your self-talk. That might help! Take care!
anxiety attack,I shake and have panic attacks.,"Normal can be an insidious word to use because it can undermine your sense of worth.  It implies there's one particular way you should be behaving and can leave you feeling crappy and abnormal  if you're not behaving according to that prescribed standard.  Instead, what I'd recommend is to pay attention to your emotional experiences when you're attending therapy. Explore your feelings and thoughts without judgement and try to reflect and understand what's going on that's causing you anxiety.  Once you figure out the underlying meaning of the anxiety, you can figure out a way to handle it and action steps to take to diminish it."
